BR,US,UK,Name,Kind,Size,Rating,StrandN,StrandD,StrandA,CuBundD,Ins1Th,Ins2Th,Screen2Th,Tape2Th,Screen3Th,Tape3Th,JackTh,Diameter,Weight,EA,EI,GJ,MaxTension,MBR
#MATERIALS,,,,,,,,COPPER,,,XLPE-SCM,XLPE,XLPE-SCM,SCM-TAPE,COPPER,WB-TAPE,HDPE,,,,,,,
#6kV CuT,,,,CuT,,6kV,,,,,,,,,,,,,,,,,,
,,,16mm2 6kV OS,OS,16,6,7,1.734,12,4.789142857,0.7,2.55,0.7,0.8,0.2,0.6,1.8,19.48914286,0.442169536,,,,,194
,,,25mm2 6kV OS,OS,25,6,7,2.1828,12,6.028685714,0.7,2.55,0.7,0.8,0.2,0.6,1.8,20.72868571,0.557516878,,,,,207
,,,35mm2 6kV OS,OS,35,6,7,2.5704,12,7.0992,0.7,2.55,0.7,0.8,0.2,0.6,1.8,21.7992,0.672745492,,,,,217
,,,50mm2 6kV OS,OS,50,6,19,1.8156,12,8.35752381,0.7,2.55,0.7,0.8,0.2,0.6,1.8,23.05752381,0.819548249,,,,,230
,,,70mm2 6kV OS,OS,70,6,19,2.1828,12,10.04780952,0.7,2.55,0.7,0.8,0.2,0.6,1.8,24.74780952,1.054605534,,,,,247
,,,95mm2 6kV OS,OS,95,6,19,2.5704,12,11.832,0.7,2.55,0.7,0.8,0.2,0.6,1.8,26.532,1.34121989,,,,,265
,,,120mm2 6kV OS,OS,120,6,37,2.0706,12,13.34386667,0.7,2.55,0.7,0.8,0.2,0.6,1.8,28.04386667,1.610025739,,,,,280
,,,150mm2 6kV OS,OS,150,6,37,2.295,12,14.79,0.7,2.55,0.7,0.8,0.2,0.6,1.8,29.49,1.897342639,,,,,294
,,,185mm2 6kV OS,OS,185,6,37,2.5704,12,16.5648,0.7,2.55,0.7,0.8,0.2,0.6,1.8,31.2648,2.285294288,,,,,312
,,,240mm2 6kV OS,OS,240,6,61,2.295,12,19.01571429,0.7,2.55,0.7,0.8,0.2,0.6,1.8,33.71571429,2.89086696,,,,,339
,,,300mm2 6kV OS,OS,300,6,61,2.5704,12,21.2976,0.7,2.55,0.7,0.8,0.2,0.6,2,36.3976,3.526347692,,,,,363
,,,400mm2 6kV OS,OS,400,6,61,2.907,12,24.08657143,0.7,2.55,0.7,0.8,0.2,0.6,2.1,39.38657143,4.389630639,,,,,393
,,,500mm2 6kV OS,OS,500,6,61,3.264,12,27.04457143,0.7,2.55,0.7,0.8,0.2,0.6,2.2,42.54457143,5.41121826,,,,,425
,,,630mm2 6kV OS,OS,630,6,127,2.5704,12,30.7632,0.7,2.55,0.7,0.8,0.2,0.6,2.3,46.4632,6.838984378,,,,,464
,,,,,,,,,,,,,,,,,,,,,,,,
#10kV OS,,,,OS,,10kV,,,,,,,,,,,,,,,,,,
,,,16mm2 10kV OS,OS,16,10,7,1.734,12,4.789142857,0.7,3.468,0.7,0.8,0.2,0.6,1.8,21.32514286,0.50137604,,,,,213
,,,25mm2 10kV OS,OS,25,10,7,2.1828,12,6.028685714,0.7,3.468,0.7,0.8,0.2,0.6,1.8,22.56468571,0.620094437,,,,,225
,,,35mm2 10kV OS,OS,35,10,7,2.5704,12,7.0992,0.7,3.468,0.7,0.8,0.2,0.6,1.8,23.6352,0.738234417,,,,,236
,,,50mm2 10kV OS,OS,50,10,19,1.8156,12,8.35752381,0.7,3.468,0.7,0.8,0.2,0.6,1.8,24.89352381,0.888459304,,,,,248
,,,70mm2 10kV OS,OS,70,10,19,2.1828,12,10.04780952,0.7,3.468,0.7,0.8,0.2,0.6,1.8,26.58380952,1.128113482,,,,,265
